timestamp,timestamp_excel,arm_1_x,arm_1_y,arm_1_z,arm_1_q0,arm_1_q1,arm_1_q2,arm_1_q3,arm_1_note,arm_2_x,arm_2_y,arm_2_z,arm_2_q0,arm_2_q1,arm_2_q2,arm_2_q3,arm_2_note,arm_3_x,arm_3_y,arm_3_z,arm_3_q0,arm_3_q1,arm_3_q2,arm_3_q3,arm_3_note,arm_4_x,arm_4_y,arm_4_z,arm_4_q0,arm_4_q1,arm_4_q2,arm_4_q3,arm_4_note
1.67E+18,16:51:02,406.6,1130.8,924.6,-0.991,0.496,-0.229,-0.111,no 008 info,401.9,1214.1,1062.8,-0.993,0.417,0.005,-0.001,no 008 info,389.6,1146.5,946.1,-0.991,0.531,0.215,0.065,no 008 info,-56.6,659.4,322.7,-1,0.017,0.017,1,no 008 info
1.67E+18,16:51:15,437.4,1125.4,910.5,-0.991,0.496,-0.162,-0.138,no 008 info,425.7,1200.7,1031.9,-0.993,0.386,0.054,-0.018,no 008 info,398.2,1146.1,938.7,-0.991,0.514,0.225,0.056,no 008 info,-56.6,659.4,322.7,-1,0.017,0.017,1,no 008 info
1.67E+18,16:51:17,457,1096.6,893.6,-0.991,0.504,-0.12,-0.154,no 008 info,425.7,1200.7,1031.9,-0.993,0.386,0.054,-0.018,no 008 info,399.4,1148.4,937,-0.991,0.508,0.227,0.054,no 008 info,-56.6,659.4,322.7,-1,0.017,0.017,1,no 008 info
1.67E+18,16:51:21,414.8,1134,916,-0.992,0.485,-0.208,-0.117,no 008 info,425.7,1200.7,1031.9,-0.993,0.386,0.054,-0.018,no 008 info,409.9,1153.2,931.9,-0.991,0.489,0.244,0.042,no 008 info,-56.6,659.4,322.7,-1,0.017,0.017,1,no 008 info
1.67E+18,16:51:25,429.7,1144.5,913.6,-0.992,0.479,-0.179,-0.128,no 008 info,425.7,1200.7,1031.9,-0.993,0.386,0.054,-0.018,no 008 info,384.4,1149,924.7,-0.991,0.495,0.189,0.069,no 008 info,-56.6,659.4,322.7,-1,0.017,0.017,1,no 008 info
1.67E+18,16:51:29,425.3,1147.2,921.1,-0.992,0.486,-0.193,-0.123,no 008 info,425.7,1200.7,1031.9,-0.993,0.386,0.054,-0.018,no 008 info,376.6,1154.5,886.9,-0.992,0.433,0.153,0.078,no 008 info,-56.6,659.4,322.7,-1,0.017,0.017,1,no 008 info
1.67E+18,16:51:33,428.6,1141.7,921.8,-0.991,0.495,-0.187,-0.128,no 008 info,405.6,1191.4,1057,-0.992,0.438,0.013,-0.003,no 008 info,393.7,1137.7,929.1,-0.991,0.508,0.207,0.063,no 008 info,-56.6,659.4,322.7,-1,0.017,0.017,1,no 008 info
1.67E+18,16:51:37,423.2,1143.2,940.2,-0.991,0.52,-0.212,-0.122,no 008 info,405.6,1191.4,1057,-0.992,0.438,0.013,-0.003,no 008 info,394,1104.8,955.5,-0.99,0.571,0.217,0.073,no 008 info,-56.6,659.4,322.7,-1,0.017,0.017,1,no 008 info
1.67E+18,16:51:39,423.7,1144.2,939.9,-0.991,0.519,-0.21,-0.123,no 008 info,405.5,1191,1056.7,-0.992,0.438,0.012,-0.003,no 008 info,392.2,1104.2,956.8,-0.99,0.574,0.214,0.075,no 008 info,-56.6,659.4,322.7,-1,0.017,0.017,1,no 008 info
1.67E+18,16:51:43,422.1,1145,940.5,-0.991,0.518,-0.214,-0.121,no 008 info,405.5,1191,1056.7,-0.992,0.438,0.012,-0.003,no 008 info,392.1,1097.2,966.5,-0.99,0.591,0.219,0.078,no 008 info,-56.6,659.4,322.7,-1,0.017,0.017,1,no 008 info
